               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.013864,           0.0052185,           0.0046271,             0.95748,             0.95422,             0.97468,             0.89224,           0.0091237,           0.0028651,           0.0048026,           0.0097635,           0.0097635,           0.0097635
                  35,            0.013955,           0.0052261,            0.004717,             0.94267,             0.96636,             0.96934,             0.88184,           0.0097066,           0.0030039,           0.0038755,           0.0097491,           0.0097491,           0.0097491
                  36,            0.013675,           0.0052288,           0.0036434,             0.95283,             0.95842,             0.96751,             0.88111,           0.0090308,           0.0029866,           0.0044376,           0.0097343,           0.0097343,           0.0097343
                  37,            0.013077,           0.0051523,            0.003811,             0.95414,             0.96049,             0.97623,             0.88856,            0.010029,           0.0032134,           0.0031157,           0.0097191,           0.0097191,           0.0097191
                  38,            0.013762,           0.0052103,           0.0042883,             0.95585,             0.95893,             0.97515,             0.88212,           0.0099553,           0.0029911,           0.0042286,           0.0097035,           0.0097035,           0.0097035
                  39,            0.013402,           0.0051193,           0.0035426,             0.94883,             0.96442,             0.97847,             0.89114,           0.0091991,           0.0028887,           0.0051208,           0.0096875,           0.0096875,           0.0096875
                  40,            0.013684,           0.0052643,           0.0034708,              0.9563,             0.95531,             0.97882,             0.89333,           0.0095029,           0.0029164,           0.0033397,            0.009671,            0.009671,            0.009671
                  41,            0.013861,            0.005223,            0.004413,             0.95039,             0.95183,             0.96836,             0.87143,           0.0097662,           0.0031047,           0.0040943,           0.0096542,           0.0096542,           0.0096542
                  42,            0.013658,           0.0052715,           0.0042981,             0.93683,             0.96368,             0.96966,             0.88859,           0.0095747,           0.0028221,             0.00394,           0.0096369,           0.0096369,           0.0096369
                  43,            0.013438,            0.005242,           0.0045934,             0.94955,             0.96844,             0.96545,             0.89292,           0.0093022,            0.002992,           0.0032969,           0.0096193,           0.0096193,           0.0096193
                  44,            0.013397,           0.0050482,           0.0034498,             0.95715,             0.96838,             0.96411,             0.87388,           0.0093426,           0.0027659,           0.0030663,           0.0096013,           0.0096013,           0.0096013
                  45,            0.013277,           0.0051157,           0.0041986,             0.95659,             0.96597,             0.95873,             0.88111,           0.0089747,           0.0028404,           0.0027199,           0.0095828,           0.0095828,           0.0095828
                  46,            0.013559,           0.0051801,           0.0039686,             0.95055,             0.97368,             0.96815,             0.88842,           0.0095994,           0.0028966,           0.0032992,            0.009564,            0.009564,            0.009564
                  47,            0.013306,           0.0051568,           0.0044207,             0.94846,             0.96017,             0.96593,             0.88017,           0.0090673,           0.0029214,           0.0032455,           0.0095448,           0.0095448,           0.0095448
                  48,            0.013792,           0.0052498,           0.0039552,             0.95273,             0.96723,             0.95891,             0.87474,           0.0093613,           0.0029717,           0.0024812,           0.0095252,           0.0095252,           0.0095252
                  49,             0.01346,           0.0049366,           0.0041437,             0.93851,             0.96914,              0.9672,             0.87646,           0.0095034,           0.0028828,            0.002854,           0.0095052,           0.0095052,           0.0095052
                  50,            0.013174,           0.0051278,           0.0041144,             0.94079,             0.94896,             0.96105,             0.86735,           0.0099389,           0.0030387,           0.0036374,           0.0094849,           0.0094849,           0.0094849
                  51,            0.013224,           0.0051001,           0.0046326,             0.94818,             0.97313,             0.97032,             0.86606,           0.0098391,           0.0027658,           0.0027943,           0.0094641,           0.0094641,           0.0094641
                  52,             0.01325,           0.0050735,           0.0042946,             0.95455,             0.97236,              0.9705,             0.89231,           0.0095246,           0.0028215,           0.0021062,            0.009443,            0.009443,            0.009443
                  53,            0.013647,           0.0052089,           0.0043625,             0.95887,             0.97298,             0.96769,             0.87214,           0.0098336,           0.0029199,           0.0022503,           0.0094215,           0.0094215,           0.0094215
                  54,            0.013028,           0.0050092,           0.0036727,             0.95243,             0.95751,              0.9705,             0.88693,           0.0095941,           0.0029193,           0.0032816,           0.0093996,           0.0093996,           0.0093996
                  55,            0.013443,           0.0051714,           0.0044397,             0.96134,             0.97575,              0.9624,             0.87519,           0.0094862,           0.0028722,           0.0021146,           0.0093773,           0.0093773,           0.0093773
                  56,            0.013167,           0.0051302,            0.003825,             0.94851,             0.95948,             0.97704,             0.88287,           0.0093614,           0.0028212,            0.003435,           0.0093547,           0.0093547,           0.0093547
                  57,             0.01324,           0.0050794,            0.003796,             0.95715,             0.96537,              0.9597,             0.87952,           0.0096059,           0.0029481,           0.0033741,           0.0093317,           0.0093317,           0.0093317
                  58,            0.013386,           0.0051699,           0.0044015,             0.96203,             0.95459,             0.96398,             0.88541,           0.0094524,           0.0028702,           0.0029573,           0.0093083,           0.0093083,           0.0093083
                  59,            0.013057,           0.0051699,           0.0041761,             0.94744,             0.96792,             0.95598,             0.87932,           0.0092235,           0.0028424,           0.0032266,           0.0092846,           0.0092846,           0.0092846
                  60,            0.013355,           0.0051853,           0.0036386,             0.96109,             0.96314,             0.95964,              0.8764,           0.0093832,           0.0027965,           0.0025369,           0.0092605,           0.0092605,           0.0092605
                  61,            0.013287,           0.0051349,           0.0042636,             0.92537,             0.95516,             0.95813,             0.87248,           0.0094643,           0.0028698,             0.00384,           0.0092361,           0.0092361,           0.0092361
                  62,            0.013081,           0.0050581,           0.0038444,             0.89853,             0.97578,             0.94669,             0.87051,           0.0094598,           0.0030098,           0.0067891,           0.0092113,           0.0092113,           0.0092113
                  63,            0.013196,            0.005075,           0.0039913,             0.95313,             0.97251,             0.95907,             0.87575,           0.0095759,           0.0029186,           0.0028582,           0.0091861,           0.0091861,           0.0091861
                  64,             0.01322,           0.0051852,           0.0034511,             0.94971,             0.95708,             0.95891,             0.88105,           0.0093291,           0.0027915,           0.0034332,           0.0091606,           0.0091606,           0.0091606
                  65,            0.013211,             0.00505,             0.00364,             0.95681,             0.94818,             0.95036,             0.86169,           0.0092651,           0.0027482,           0.0033756,           0.0091348,           0.0091348,           0.0091348
                  66,            0.013107,           0.0052052,           0.0044379,             0.94252,             0.97825,             0.97199,             0.89074,           0.0086309,           0.0028334,            0.002259,           0.0091086,           0.0091086,           0.0091086
                  67,            0.013118,           0.0051226,           0.0038379,             0.94734,             0.98364,             0.96958,             0.88864,           0.0093025,           0.0027706,           0.0024311,           0.0090821,           0.0090821,           0.0090821
                  68,            0.013305,           0.0051827,           0.0040077,             0.96209,             0.96973,             0.97112,             0.89264,           0.0095338,           0.0028616,           0.0019836,           0.0090552,           0.0090552,           0.0090552
                  69,            0.013373,           0.0051955,           0.0035532,             0.94996,             0.96228,             0.96215,             0.87678,           0.0094311,           0.0028984,           0.0032525,            0.009028,            0.009028,            0.009028
                  70,            0.012877,           0.0050059,           0.0035493,             0.93946,             0.95974,             0.96365,             0.88967,           0.0092473,           0.0028417,           0.0033963,           0.0090004,           0.0090004,           0.0090004
                  71,            0.012986,           0.0049887,           0.0035926,              0.9479,             0.95535,             0.98002,             0.91011,           0.0092786,           0.0026782,           0.0040968,           0.0089726,           0.0089726,           0.0089726
                  72,            0.013097,           0.0049472,           0.0034477,             0.92548,             0.96391,             0.96981,             0.88252,           0.0096592,           0.0029699,           0.0043726,           0.0089444,           0.0089444,           0.0089444
                  73,               0.013,           0.0051251,           0.0035054,             0.95915,             0.98137,             0.97643,              0.8805,           0.0098568,           0.0028595,            0.002232,           0.0089159,           0.0089159,           0.0089159
                  74,            0.013109,           0.0051658,           0.0038936,             0.92955,             0.97771,             0.96794,             0.89263,           0.0095061,           0.0028453,           0.0027786,            0.008887,            0.008887,            0.008887
                  75,            0.013009,           0.0051081,           0.0042726,             0.94154,             0.97065,             0.96919,             0.88705,           0.0091336,           0.0027625,           0.0028241,           0.0088579,           0.0088579,           0.0088579
                  76,            0.012873,           0.0048244,           0.0034298,             0.96013,             0.96477,             0.95606,             0.87238,           0.0091591,           0.0030056,           0.0026991,           0.0088284,           0.0088284,           0.0088284
                  77,            0.012993,           0.0050211,           0.0034067,             0.95968,             0.97776,             0.95907,             0.88542,           0.0090552,           0.0027545,           0.0025272,           0.0087987,           0.0087987,           0.0087987
                  78,             0.01295,           0.0049652,           0.0033374,             0.95277,             0.96128,             0.94879,             0.87599,           0.0091364,           0.0028002,           0.0034319,           0.0087686,           0.0087686,           0.0087686
                  79,            0.013151,           0.0052031,            0.003718,             0.94769,             0.97276,              0.9608,             0.88097,           0.0092248,           0.0028397,           0.0028904,           0.0087382,           0.0087382,           0.0087382
                  80,            0.012824,              0.0051,           0.0035408,             0.94906,             0.97934,             0.95884,             0.87268,           0.0092405,           0.0029766,           0.0027524,           0.0087075,           0.0087075,           0.0087075
                  81,            0.012848,           0.0049928,           0.0039287,             0.93032,             0.96595,             0.97001,             0.89073,             0.00909,           0.0029109,           0.0034928,           0.0086765,           0.0086765,           0.0086765
                  82,            0.012611,           0.0050114,           0.0033196,             0.94644,              0.9576,             0.96312,             0.87852,           0.0094763,           0.0029468,           0.0035577,           0.0086452,           0.0086452,           0.0086452
                  83,            0.012833,           0.0050474,           0.0036011,             0.94353,             0.97368,             0.97606,             0.89532,           0.0091386,           0.0028507,           0.0030018,           0.0086137,           0.0086137,           0.0086137
                  84,            0.012821,           0.0050332,           0.0039594,             0.94713,             0.95218,             0.95365,             0.87872,           0.0090956,           0.0027985,           0.0035973,           0.0085818,           0.0085818,           0.0085818
                  85,            0.012709,           0.0050185,           0.0035173,             0.94286,             0.96827,             0.97284,             0.90016,           0.0091848,           0.0028224,           0.0030347,           0.0085497,           0.0085497,           0.0085497
                  86,            0.012437,           0.0050024,            0.003939,             0.94642,             0.96196,             0.98744,             0.90425,            0.008815,           0.0028455,           0.0034447,           0.0085173,           0.0085173,           0.0085173
                  87,            0.012908,           0.0050811,           0.0036322,             0.93931,             0.96773,             0.95499,             0.87962,           0.0088102,           0.0028526,           0.0032747,           0.0084846,           0.0084846,           0.0084846
                  88,            0.012729,           0.0049901,           0.0031778,             0.94087,             0.95312,             0.94926,             0.88079,           0.0086516,           0.0027592,           0.0036596,           0.0084516,           0.0084516,           0.0084516
                  89,            0.012695,           0.0049741,           0.0032857,             0.95533,             0.96894,             0.95264,             0.88261,           0.0090437,           0.0029537,            0.002504,           0.0084184,           0.0084184,           0.0084184
                  90,            0.012609,           0.0048724,           0.0035243,             0.95028,             0.94696,             0.96294,             0.88619,           0.0090409,           0.0028984,           0.0035453,           0.0083849,           0.0083849,           0.0083849
                  91,            0.012891,           0.0048497,           0.0033822,             0.92707,             0.97771,             0.97948,             0.89492,           0.0089421,           0.0028428,           0.0030966,           0.0083511,           0.0083511,           0.0083511
                  92,            0.012907,           0.0049775,           0.0033952,             0.95962,             0.96876,             0.95681,              0.8937,           0.0087852,            0.002748,            0.002253,           0.0083171,           0.0083171,           0.0083171
                  93,            0.012796,           0.0049088,           0.0032075,             0.95139,             0.97156,             0.97692,             0.90172,            0.009068,           0.0028411,           0.0025121,           0.0082829,           0.0082829,           0.0082829
                  94,            0.012529,           0.0049386,           0.0033983,             0.95089,             0.97345,             0.96771,              0.8839,           0.0091866,           0.0028269,           0.0027163,           0.0082483,           0.0082483,           0.0082483
                  95,            0.012637,           0.0050764,           0.0037826,             0.95855,             0.96421,             0.96475,             0.89673,           0.0090851,           0.0028772,           0.0034704,           0.0082136,           0.0082136,           0.0082136
                  96,            0.012573,           0.0050438,           0.0028555,             0.95029,             0.97367,              0.9668,             0.89186,           0.0089754,           0.0027317,           0.0031545,           0.0081786,           0.0081786,           0.0081786
                  97,            0.012617,           0.0049234,           0.0032789,             0.96133,             0.96626,             0.96337,             0.88699,           0.0088623,            0.002743,           0.0022349,           0.0081433,           0.0081433,           0.0081433
                  98,            0.012401,           0.0050294,           0.0034748,             0.95373,             0.96193,             0.96757,             0.88887,           0.0090015,           0.0027423,           0.0027716,           0.0081078,           0.0081078,           0.0081078
                  99,            0.012394,           0.0050098,           0.0034779,             0.94008,             0.97628,              0.9767,             0.89646,           0.0090151,           0.0028197,           0.0028813,           0.0080721,           0.0080721,           0.0080721
                 100,             0.01265,           0.0047547,            0.003196,             0.94516,             0.95981,             0.96958,             0.89934,           0.0088595,           0.0027832,           0.0028045,           0.0080362,           0.0080362,           0.0080362
